StudentID,Group,Spelling_pre,Punctuation_pre,Capitalization_pre,Tense_pre,Agreement_pre,Article_pronoun_Preposition_pre,Vocabulary_pre,HolisticScore_pre,Spelling_post,Punctuation_post,Capitalization_post,Tense_post,Agreement_post,Article_pronoun_Preposition_post,Vocabulary_post,HolisticScore_post,sex,age,pre_mechanics,post_mechanics,pre_grammar,post_grammar,pre_vocabulary,post_vocabulary,pre_holistic,post_holistic,grammar_reduction,vocabulary_reduction,mechanics_reduction
Stu1,Experimental,5,3,2,2,3,4,2,6,6,4,2,3,3,2,1,5,F,17,10,12,9,8,2,1,6,5,1,1,-2
Stu2,Experimental,6,3,1,1,1,2,3,10,2,1,0,1,0,0,0,12,F,17,10,3,4,1,3,0,10,12,3,3,7
Stu3,Experimental,7,3,1,1,1,3,1,10,3,0,0,1,0,0,0,15,F,17,11,3,5,1,1,0,10,15,4,1,8
Stu4,Experimental,8,5,3,2,3,4,3,10,5,2,1,0,2,1,0,14,F,17,16,8,9,3,3,0,10,14,6,3,8
Stu5,Experimental,6,4,3,4,3,4,2,2,3,2,1,1,2,1,0,3,M,17,13,6,11,4,2,0,2,3,7,2,7
Stu6,Experimental,8,4,3,3,4,5,2,3,6,4,3,3,2,3,1,3,F,16,15,13,12,8,2,1,3,3,4,1,2
Stu7,Experimental,7,5,4,2,3,4,2,5,3,2,2,0,0,1,0,13,F,17,16,7,9,1,2,0,5,13,8,2,9
Stu8,Experimental,7,5,4,3,4,5,2,4,3,2,2,0,1,2,1,8,F,17,16,7,12,3,2,1,4,8,9,1,9
Stu9,Experimental,4,3,3,2,3,5,2,6,2,1,1,1,0,1,1,10,F,17,10,4,10,2,2,1,6,10,8,1,6
Stu10,Experimental,8,4,3,4,2,5,2,1,5,3,3,3,1,2,0,6,F,17,15,11,11,6,2,0,1,6,5,2,4
Stu11,Experimental,7,5,3,5,3,5,3,1,3,2,2,2,0,1,0,10,F,17,15,7,13,3,3,0,1,10,10,3,8
Stu12,Experimental,6,4,4,3,4,5,2,1,4,4,2,2,1,3,1,7,F,17,14,10,12,6,2,1,1,7,6,1,4
Stu13,Experimental,5,4,4,3,2,4,3,1,3,2,2,3,1,2,0,10,F,17,13,7,9,6,3,0,1,10,3,3,6
Stu14,Experimental,11,7,5,6,4,6,4,6,6,3,2,3,2,2,0,7,F,17,23,11,16,7,4,0,6,7,9,4,12
Stu15,Experimental,8,7,6,5,4,3,4,10,3,3,2,2,1,1,0,13,F,17,21,8,12,4,4,0,10,13,8,4,13
Stu16,Experimental,8,5,4,2,2,5,3,10,4,2,2,0,0,1,0,13,F,17,17,8,9,1,3,0,10,13,8,3,9
Stu17,Experimental,5,2,2,1,1,1,1,14,2,0,0,0,1,0,0,17,F,17,9,2,3,1,1,0,14,17,2,1,7
Stu18,Experimental,5,3,2,3,3,5,2,10,2,1,1,0,1,0,0,15,F,17,10,4,11,1,2,0,10,15,10,2,6
Stu19,Experimental,8,5,5,6,5,7,5,2,6,3,3,4,2,3,5,5,M,17,18,12,18,9,5,5,2,5,9,0,6
Stu20,Experimental,10,6,5,3,2,4,4,2,6,5,3,1,1,3,2,4,M,17,21,14,9,5,4,2,2,4,4,2,7
Stu21,Experimental,5,5,4,3,4,5,4,2,4,5,3,1,2,4,2,3,F,17,14,12,12,7,4,2,2,3,5,2,2
Stu22,Experimental,7,6,4,3,4,5,4,1,6,5,2,3,2,4,2,2,F,17,17,13,12,9,4,2,1,2,3,2,4
Stu23,Experimental,6,4,3,3,2,5,2,6,2,1,2,0,0,1,0,12,F,17,13,5,10,1,2,0,6,12,9,2,8
Stu24,Experimental,4,3,3,2,3,4,2,1,2,2,1,2,2,3,0,5,F,17,10,5,9,7,2,0,1,5,2,2,5
Stu25,Experimental,8,5,4,3,3,4,2,9,4,2,2,0,1,1,0,11,F,17,17,8,10,2,2,0,9,11,8,2,9
Stu26,Experimental,8,5,3,3,4,3,4,1,6,3,3,2,3,1,2,4,F,17,16,12,10,6,4,2,1,4,4,2,4
Stu27,Experimental,8,6,4,2,3,5,3,10,3,3,1,0,0,1,0,14,M,17,18,7,10,1,3,0,10,14,9,3,11
Stu28,Experimental,8,5,5,3,4,6,5,1,6,3,4,2,2,5,6,4,M,17,18,13,13,9,5,6,1,4,4,-1,5
Stu29,Experimental,3,3,4,2,2,4,3,1,1,1,2,1,0,1,2,6,M,17,10,4,8,2,3,2,1,6,6,1,6
Stu30,Experimental,8,5,3,3,2,4,3,3,5,3,2,3,1,2,4,10,F,17,16,10,9,6,3,4,3,10,3,-1,6
Stu31,Experimental,6,3,2,5,3,4,4,1,4,2,3,4,2,2,4,4,M,17,11,9,12,8,4,4,1,4,4,0,2
Stu32,Experimental,8,5,4,3,3,5,3,4,5,3,1,1,1,2,0,10,F,18,17,9,11,4,3,0,4,10,7,3,8
Stu33,Experimental,6,2,2,1,1,3,2,10,3,2,2,0,0,1,0,12,M,18,10,7,5,1,2,0,10,12,4,2,3
Stu34,Experimental,7,4,3,3,2,4,5,2,3,2,3,2,2,3,1,5,F,17,14,8,9,7,5,1,2,5,2,4,6
stu35,Control,8,5,7,2,3,6,3,10,6,4,3,1,2,4,1,12,F,17,20,13,11,7,3,1,10,12,4,2,7
stu36,Control,4,6,4,1,1,1,1,12,3,4,2,1,0,2,0,16,M,17,14,9,3,3,1,0,12,16,0,1,5
stu37,Control,10,7,7,3,3,5,4,3,8,8,5,2,4,6,6,2,M,17,24,21,11,12,4,6,3,2,-1,-2,3
stu38,Control,7,5,3,3,2,3,3,10,5,5,1,4,1,2,1,11,F,17,15,11,8,7,3,1,10,11,1,2,4
stu39,Control,7,5,4,4,4,3,6,3,6,3,2,3,2,5,4,4,M,17,16,11,11,10,6,4,3,4,1,2,5
stu40,Control,6,7,6,4,5,4,4,2,6,4,4,4,3,5,3,3,M,17,19,14,13,12,4,3,2,3,1,1,5
stu41,Control,6,4,2,1,1,4,3,14,3,3,1,1,0,3,1,15.5,F,16,12,7,6,4,3,1,14,15.5,2,2,5
stu42,Control,10,8,5,4,3,6,5,3,8,5,3,3,2,3,4,6,F,17,23,16,13,8,5,4,3,6,5,1,7
stu43,Control,10,4,6,3,4,5,3,3,8,2,3,4,3,2,4,4,F,17,20,13,12,9,3,4,3,4,3,-1,7
stu44,Control,0.8,5,3,2,3,4,3,5,4,3,1,0,0,2,1,10,F,17,8.8,8,9,2,3,1,5,10,7,2,0.8000000000000007
stu45,Control,8,6,3,3,4,6,6,2,6,4,4,2,2,5,4,5,F,17,17,14,13,9,6,4,2,5,4,2,3
stu46,Control,9,7,7,5,4,5,6,2,8,5,6,6,5,4,4,3,M,17,23,19,14,15,6,4,2,3,-1,2,4
stu47,Control,8,9,7,5,4,5,7,1,6,6,5,5,3,4,6,5,M,17,24,17,14,12,7,6,1,5,2,1,7
stu48,Control,11,5,3,1,3,4,3,10,5,2,2,2,2,3,0,12,F,17,19,9,8,7,3,0,10,12,1,3,10
stu49,Control,9,3,3,1,2,5,3,1,8,5,4,1,4,0,1,5,F,17,15,17,8,5,3,1,1,5,3,2,-2
stu50,Control,8,6,5,3,4,5,4,6,6,2,3,2,2,4,3,8,F,16,19,11,12,8,4,3,6,8,4,1,8
stu51,Control,8,5,6,4,3,5,4,2,7,5,5,5,3,6,3,2,F,17,19,17,12,14,4,3,2,2,-2,1,2
stu52,Control,10,6,5,4,5,5,6,4,8,6,3,3,4,6,4,6,F,17,21,17,14,13,6,4,4,6,1,2,4
stu53,Control,8,5,4,1,1,3,2,1,7,4,4,2,0,2,3,3,M,17,17,15,5,4,2,3,1,3,1,-1,2
stu54,Control,12,6,4,3,4,5,6,1,10,4,5,4,3,3,4,2,M,17,22,19,12,10,6,4,1,2,2,2,3
stu55,Control,9,7,4,4,3,5,4,4,8,5,5,3,4,6,3,5.5,M,17,20,18,12,13,4,3,4,5.5,-1,1,2
stu56,Control,8,6,4,5,3,5,4,2,7,6,5,4,2,2,4,4,F,17,18,18,13,8,4,4,2,4,5,0,0
stu57,Control,9,5,3,3,3,4,6,2,7,4,1,1,5,5,4,7,F,17,17,12,10,11,6,4,2,7,-1,2,5
stu58,Control,10,5,4,4,5,6,4,2,7,5,4,2,2,1,5,5,F,17,19,16,15,5,4,5,2,5,10,-1,3
stu59,Control,11,6,4,2,2,5,4,2,9,7,3,3,2,6,3,4,F,17,21,19,9,11,4,3,2,4,-2,1,2
stu60,Control,11,8,4,3,3,5,6,2,9,6,4,2,4,3,5,3,M,17,23,19,11,9,6,5,2,3,2,1,4
stu61,Control,5,4,3,2,2,4,2,10,3,5,2,3,1,2,3,12,F,17,12,10,8,6,2,3,10,12,2,-1,2
stu62,Control,8,6,4,3,3,5,6,5,10,7,5,4,5,6,8,4,M,17,18,22,11,15,6,8,5,4,-4,-2,-4
stu63,Control,5,3,4,1,2,3,2,1,9,7,5,3,4,6,4,1,M,17,12,21,6,13,2,4,1,1,-7,-2,-9
stu64,Control,9,7,4,4,3,5,3,10,5,5,5,3,2,3,1,13,F,17,20,15,12,8,3,1,10,13,4,2,5
stu65,Control,10,8,5,4,5,6,6,1,9,6,6,5,4,4,5,1,F,18,23,21,15,13,6,5,1,1,2,1,2
stu66,Control,5,4,3,3,1,3,2,10,3,4,2,1,1,4,4,11.5,F,17,12,9,7,6,2,4,10,11.5,1,-2,3
stu67,Control,4,5,5,4,1,2,3,11,3,2,2,2,1,3,1,13,F,17,14,7,7,6,3,1,11,13,1,2,7
stu68,Control,10,9,4,4,4,3,7,2,11,8,6,5,3,6,5,2,F,17,23,25,11,14,7,5,2,2,-3,2,-2
